id;name;id_type;id_category;daily_visitors;to_keep;characteristic
101;ECOLE MATERNELLE;35;1;50;1;1
102;ECOLE MATERNELLE ANNEXE D INSPE;\N;1;50;0;0
103;ECOLE MATERNELLE D APPLICATION;\N;1;50;0;0
151;ECOLE DE NIVEAU ELEMENTAIRE;33;1;100;1;1
153;ECOLE ELEMENTAIRE D APPLICATION;\N;1;50;0;0
160;ECOLE DE PLEIN AIR;\N;1;50;0;0
162;ECOLE DE NIVEAU ELEMENTAIRE SPECIALISEE;\N;1;50;0;0
169;ECOLE REGIONALE DU PREMIER DEGRE;\N;1;50;0;0
170;ECOLE SANS EFFECTIFS PERMANENTS;\N;1;50;0;0
300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;37;1;500;1;1
301;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE;37;1;500;1;1
302;LYCEE D ENSEIGNEMENT GENERAL;37;1;500;1;1
306;LYCEE POLYVALENT;37;1;500;1;1
307;LYCEE ENS GENERAL TECHNO PROF AGRICOLE;37;1;500;1;1
310;LYCEE CLIMATIQUE;\N;1;50;0;0
312;ECOLE SECONDAIRE SPECIALISEE (2 D CYCLE);\N;1;50;0;0
315;LYCEE EXPERIMENTAL;\N;1;50;0;0
320;LYCEE PROFESSIONNEL;37;1;500;1;1
332;ECOLE PROFESSIONNELLE SPECIALISEE;\N;1;50;0;0
334;SECTION D ENSEIGNEMENT PROFESSIONNEL;\N;1;50;0;0
335;SECTION ENSEIGT GENERAL ET TECHNOLOGIQUE;\N;1;50;0;0
340;COLLEGE;36;1;200;1;1
342;GROUPEMENT D OBSERVATION DISPERSE;\N;1;50;0;0
344;CETAD (TOM);\N;1;50;0;0
345;CENTRE DE JEUNES ADOLESCENTS;\N;1;50;0;0
349;ETABLISSEMENT DE REINSERTION SCOLAIRE;\N;1;50;0;0
350;COLLEGE CLIMATIQUE;\N;1;50;0;0
352;COLLEGE SPECIALISE;\N;1;50;0;0
370;ETAB REGIONAL/LYCEE ENSEIGNEMENT ADAPTE;\N;1;50;0;0
380;MAISON FAMILIALE RURALE EDUCATION ORIENT;\N;1;50;0;0
390;SECTION ENSEIGNT GEN. ET PROF. ADAPTE;\N;1;50;0;0
