MP1;TIRA;MP3;ECH;M5;M6;M8A;M9A;M10A;M8B;M9B;M10B;M8C;M9C;M10C;M8D;M9D;M10D;M14;M20;COE0;ZFET;MFIN
1;003;001;124;1;2;1;1984;07;1;2011;04;;;;;;;0;06;74.70099;;0
1;003;002;128;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;014;130;1;1;1;2003;05;;;;;;;;;;1;02;90.90479;;0
1;003;010;131;1;0;;;;;;;;;;;;;0;01;90.90479;;0
1;003;017;135;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;006;139;1;1;3;2005;07;;;;;;;;;;0;04;64.42238;;0
1;003;002;140;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;002;141;1;1;3;2009;07;;;;;;;;;;0;01;84.66289;;0
1;003;010;146;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;002;147;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;002;149;1;0;;;;;;;;;;;;;0;00;76.78772;;0
1;003;008;151;1;1;1;2005;05;;;;;;;;;;0;00;84.66289;;0
1;003;017;153;2;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;002;156;1;0;;;;;;;;;;;;;0;00;90.90479;;0
1;003;002;157;1;0;;;;;;;;;;;;;0;01;84.66289;;0
1;003;014;163;2;1;3;2010;06;;;;;;;;;;0;02;90.90479;;0
1;003;014;165;1;2;3;2006;05;1;1987;06;;;;;;;0;02;64.42238;;0
1;003;002;166;1;1;1;2012;04;;;;;;;;;;0;00;84.66289;;0
1;003;010;167;1;0;;;;;;;;;;;;;0;01;84.66289;;0
1;003;004;168;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;014;171;1;1;1;1998;04;;;;;;;;;;0;01;84.66289;;0
1;003;018;173;1;1;3;2011;06;;;;;;;;;;0;03;90.90479;;0
1;003;014;174;1;2;3;2002;07;3;1996;08;;;;;;;0;02;76.78772;;0
1;003;009;176;1;0;;;;;;;;;;;;;0;01;76.78772;;0
1;003;002;177;1;1;1;2014;04;;;;;;;;;;0;00;84.66289;;0
1;003;004;178;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;016;182;1;1;3;2012;06;;;;;;;;;;0;02;90.90479;;0
1;003;013;185;2;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;002;186;1;1;1;2012;04;;;;;;;;;;0;00;90.90479;;0
1;003;011;187;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;001;188;1;2;3;2005;04;1;2005;05;;;;;;;0;01;76.78772;;0
1;003;008;191;1;1;1;2012;05;;;;;;;;;;0;00;84.66289;;0
1;003;014;193;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;002;004;225;1;0;;;;;;;;;;;;;0;01;20.09490;;0
1;002;004;229;2;0;;;;;;;;;;;;;0;00;20.09490;;0
1;003;013;002;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;001;004;1;1;3;2003;04;;;;;;;;;;0;00;84.66289;;0
1;003;001;005;1;1;1;1999;05;;;;;;;;;;0;00;84.66289;;0
1;003;010;006;1;0;;;;;;;;;;;;;0;02;84.66289;;0
1;003;014;007;1;1;3;2002;04;;;;;;;;;;1;01;90.90479;;0
1;003;008;009;1;1;3;2007;04;;;;;;;;;;0;01;90.90479;;0
1;003;003;010;1;1;1;2008;06;;;;;;;;;;0;00;84.66289;;0
1;003;002;012;1;0;;;;;;;;;;;;;0;01;84.66289;;0
1;003;002;013;2;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;002;014;1;1;3;1995;06;;;;;;;;;;0;00;84.66289;;0
1;003;008;017;2;1;1;2008;05;;;;;;;;;;0;00;90.90479;;0
1;003;002;018;1;1;1;2010;04;;;;;;;;;;0;00;84.66289;;0
1;003;001;019;2;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;014;020;2;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;008;021;1;0;;;;;;;;;;;;;0;01;84.66289;;0
1;003;002;027;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;001;032;1;1;3;2000;06;;;;;;;;;;0;01;90.90479;;0
1;003;002;034;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;010;036;2;1;3;2008;04;;;;;;;;;;0;00;84.66289;;0
1;003;002;037;2;0;;;;;;;;;;;;;0;01;84.66289;;0
1;003;001;038;2;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;001;039;1;1;1;1993;04;;;;;;;;;;0;01;90.90479;;0
1;003;006;040;1;2;3;2011;06;1;1989;02;;;;;;;1;05;74.70099;;0
1;003;002;041;1;1;1;0;06;;;;;;;;;;0;00;84.66289;;0
1;003;004;042;1;1;1;2009;05;;;;;;;;;;0;00;90.90479;;0
1;003;008;045;1;0;;;;;;;;;;;;;0;00;90.90479;;0
1;003;002;048;1;0;;;;;;;;;;;;;0;01;84.66289;;0
1;003;002;051;1;1;1;1992;09;;;;;;;;;;0;01;84.66289;;0
1;003;010;053;1;2;3;1978;06;1;1998;04;;;;;;;0;03;76.78772;;0
1;003;002;056;2;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;002;057;2;1;3;1999;05;;;;;;;;;;0;02;90.90479;;0
1;003;001;058;1;1;1;2006;06;;;;;;;;;;0;04;64.42238;;0
1;003;009;059;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;009;061;1;1;1;1991;07;;;;;;;;;;0;00;90.90479;;0
1;003;008;063;2;1;3;1998;05;;;;;;;;;;0;00;90.90479;;0
1;003;010;065;2;1;3;2001;07;;;;;;;;;;0;01;90.90479;;0
1;003;002;066;1;0;;;;;;;;;;;;;0;01;84.66289;;0
1;003;002;072;1;1;1;1996;04;;;;;;;;;;0;01;84.66289;;0
1;003;001;073;1;0;;;;;;;;;;;;;1;00;84.66289;;0
1;003;016;074;1;1;1;2007;06;;;;;;;;;;0;00;84.66289;;0
1;003;002;075;1;2;1;2005;07;1;2008;06;;;;;;;0;00;64.42238;;0
1;003;001;078;2;1;1;2004;05;;;;;;;;;;0;03;76.78772;;0
1;003;011;079;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;018;081;1;1;3;2009;06;;;;;;;;;;0;03;76.78772;;0
1;003;001;083;1;1;3;2002;05;;;;;;;;;;0;00;84.66289;;0
1;003;010;086;1;0;;;;;;;;;;;;;1;00;84.66289;;0
1;003;002;088;2;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;009;089;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;010;092;1;2;3;1994;05;1;2001;03;;;;;;;0;02;64.42238;;0
1;003;009;093;1;0;;;;;;;;;;;;;0;00;90.90479;;0
1;003;010;094;2;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;014;095;1;2;1;2011;04;3;2013;04;;;;;;;0;03;90.90479;;0
1;003;006;098;2;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;016;099;1;1;1;1999;04;;;;;;;;;;0;01;84.66289;;0
1;003;002;100;1;1;3;1999;03;;;;;;;;;;0;00;90.90479;;0
1;003;004;101;1;0;;;;;;;;;;;;;0;01;90.90479;;0
1;003;010;105;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;002;107;1;0;;;;;;;;;;;;;0;02;90.90479;;0
1;003;005;110;1;0;;;;;;;;;;;;;0;00;84.66289;;0
1;003;004;114;1;0;;;;;;;;;;;;;0;01;76.78772;;0
1;003;005;115;1;1;1;2005;04;;;;;;;;;;1;00;90.90479;;0
