PP1;TIRA;PP2;ECH;PER;DATE;PENQ;JOURDEP;P2;P3;P4;P7;P8;P9;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24A;P11A;P25;P26;PL27;PL28;P12A;P12B;P12C;P12D;P12E;P12F;P1;COE1;COEP;DP13;PFIN
2;001;001;195;01;280314;1;4;1;1;26;1;2;6;;;;;;1;5;5;5;3;2;6;1;;5;5;4;4;4;4;4;;1;60.28323;60.28323;0;0
2;001;001;192;01;010414;1;1;1;1;67;1;3;1;5;001007;3;;1;1;5;5;3;3;3;2;1;5;5;5;4;4;4;4;4;;1;39.93726;39.93726;226;0
2;001;001;192;02;010414;1;1;2;2;63;1;3;1;5;001007;3;;1;1;5;5;3;3;3;2;1;5;5;5;4;4;4;4;4;;1;118.3294;118.3294;226;0
2;001;001;045;01;081113;1;4;1;1;22;1;0;4;4;001008;4;;1;1;5;5;2;2;1;7;1;;5;3;1;4;4;4;4;3;1;46.37829;46.37829;268;0
2;001;001;045;02;081113;1;4;1;4;21;2;0;4;4;001008;4;;1;2;1;5;5;5;2;7;1;;5;5;4;4;4;4;4;;1;46.37829;46.37829;268;0
2;001;001;050;01;211113;1;3;2;1;19;1;0;4;5;001008;3;;1;1;5;5;4;4;4;7;1;;5;5;4;4;4;4;4;;1;37.46040;37.46040;268;0
2;001;001;138;01;130214;1;3;1;1;21;1;0;4;5;001011;4;;1;1;5;5;5;5;2;7;1;;5;5;4;4;4;4;4;;1;37.46040;37.46040;315;0
2;001;001;207;01;010414;1;1;2;1;24;1;0;4;5;001011;4;;1;1;1;5;5;3;1;7;1;;3;3;3;4;4;4;4;3;1;37.46040;37.46040;315;0
2;001;001;090;01;210114;1;1;1;1;27;1;0;4;5;001011;4;;1;1;4;5;2;2;2;7;1;;2;4;4;4;4;4;4;;1;48.69161;48.69161;315;0
2;001;001;026;01;191213;1;3;2;1;22;1;0;4;5;022151;1;3;;1;5;5;1;4;2;7;1;;4;5;4;4;4;4;4;;1;37.46040;37.46040;2076;0
2;001;001;161;01;190314;1;2;1;1;18;1;0;4;5;025352;4;;1;1;2;5;3;3;1;7;1;;1;5;3;4;4;4;4;1;1;37.46040;37.46040;2237;0
2;001;001;049;01;211113;1;3;1;1;20;2;0;4;5;028004;4;;2;1;4;3;5;4;1;7;1;;3;5;4;4;4;4;4;;1;46.37829;46.37829;2118;0
2;001;001;049;02;211113;1;3;1;4;19;1;0;4;5;028004;4;;2;1;3;4;5;4;1;7;1;;3;5;4;4;4;4;4;;1;46.37829;46.37829;2118;0
2;001;001;195;02;280314;1;4;2;2;24;1;4;2;5;007001;4;;1;1;5;5;5;4;2;5;1;5;5;5;3;4;4;4;4;3;1;46.37829;46.37829;407;0
2;001;001;192;03;010414;1;1;1;5;19;2;0;5;5;009351;4;;1;1;5;5;5;3;3;7;1;;5;5;4;4;4;4;4;;1;61.30336;61.30336;1262;0
2;001;002;176;01;250214;1;1;1;1;61;1;3;9;;;;;;1;5;5;5;4;1;6;2;;4;4;3;4;4;4;4;3;1;72.30705;72.30705;0;0
2;001;002;103;01;140114;1;1;2;1;70;1;5;7;;;;;;1;5;5;5;3;3;4;1;;3;5;4;4;4;4;4;;1;24.40430;24.40430;0;0
2;001;002;036;01;181013;1;4;2;1;21;1;0;4;4;025352;4;;3;1;5;5;5;5;1;7;1;;5;5;4;4;4;4;4;;1;46.37829;46.37829;2260;0
2;001;002;036;02;181013;1;4;2;4;20;1;0;4;4;025352;4;;3;1;5;5;5;5;1;7;1;;5;5;3;4;4;4;4;3;1;46.37829;46.37829;2260;0
2;001;002;093;01;160114;1;3;1;1;29;1;6;2;5;030001;4;;3;1;5;5;5;2;2;4;1;5;4;4;4;4;4;4;4;;1;48.69161;48.69161;3188;0
2;001;002;135;01;010214;1;5;2;1;55;2;6;1;5;007006;4;;3;1;1;5;5;3;2;3;1;1;5;4;1;4;4;4;4;3;1;89.52061;89.52061;771;0
2;001;002;135;02;010214;1;5;2;3;18;2;0;5;5;009352;4;;3;1;5;5;5;4;3;7;1;;5;4;4;4;4;4;4;;1;46.37829;46.37829;538;0
2;001;003;136;01;120214;1;2;1;1;69;1;6;7;;;;;;1;5;5;4;4;3;4;1;;5;5;4;4;4;4;4;;1;30.21404;30.21404;0;0
2;001;003;136;02;120214;1;2;2;2;69;1;6;7;;;;;;;;;;;;4;1;;;;4;4;4;4;4;;2;30.21404;30.21404;0;0
2;001;003;003;01;171013;1;3;2;1;83;1;2;7;;;;;;1;5;5;2;3;3;2;1;;4;5;4;4;4;4;4;;1;29.92173;29.92173;0;0
2;001;003;055;01;180214;1;1;1;1;31;2;5;6;;;;;;1;4;3;5;2;2;5;1;;3;4;4;4;4;4;4;;1;48.69161;48.69161;0;0
2;001;003;100;01;080114;1;2;2;1;54;1;6;1;5;001001;3;;1;1;5;5;3;2;4;3;1;1;5;4;4;4;4;4;4;;1;33.12573;33.12573;151;0
