TP1;TIRA;TP2;ECH;PER;NDEP;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;TOIS;TDIS;TDIP;TDMO;TDMD;TFIN
4;001;001;045;01;02;1;02;32;006011;006013;01;;;;;;860;1290;1290;133;67;0
4;001;001;045;01;03;1;01;32;006013;006011;02;;;;;;860;1290;1290;67;133;0
4;001;001;045;02;01;1;00;11;001001;022151;00;0;1;3;2;00;2076;2252;2252;0;0;0
4;001;001;045;02;02;1;00;11;022151;022152;00;0;1;3;2;00;1264;1643;1643;0;0;0
4;001;001;045;02;03;1;00;11;022152;022002;02;0;1;3;2;00;594;1781;1781;0;133;0
4;001;001;045;02;04;1;02;11;022002;001001;00;0;1;1;2;00;2407;2853;2853;133;0;0
4;001;001;049;01;05;1;00;15;001001;012004;00;1;1;2;2;00;1465;1974;1974;0;0;0
4;001;001;049;01;06;1;00;15;012004;001001;00;1;1;1;2;00;1465;2227;2227;0;0;0
4;001;001;049;02;01;2;00;32;003001;028005;05;;;;;;1175;1763;1763;0;333;0
4;001;001;049;02;01;1;05;32;001011;003001;00;;;;;;961;1442;1442;333;0;0
4;001;001;049;02;05;2;00;32;003001;001011;05;;;;;;961;1442;1442;0;333;0
4;001;001;049;02;05;1;05;32;028005;003001;00;;;;;;1175;1763;1763;333;0;0
4;001;001;090;01;01;1;00;22;900084;900084;00;;;;;;0;0;0;0;0;0
4;001;001;090;01;01;2;00;51;900084;003551;01;;;;;;83554;125332;36582;0;67;0
4;001;001;090;01;01;3;01;32;003001;001011;05;;;;;;961;1442;1442;67;333;0
4;001;001;161;01;03;1;06;32;006011;022006;10;;;;;;1378;2067;2067;400;667;0
4;001;001;161;01;05;2;02;32;022006;006011;10;;;;;;1378;2067;2067;133;667;0
4;001;001;161;01;05;1;02;31;026008;022006;02;;;;;;2110;3165;3165;133;133;0
4;001;001;192;01;01;1;00;21;900007;001001;03;1;2;4;3;00;191754;250263;28126;0;200;0
4;001;001;192;02;01;1;00;22;900007;001001;03;;;;;;191754;250263;28126;0;200;0
