file;position;width;name
persons;1;1;PP1
persons;2;3;TIRA
persons;5;3;PP2
persons;8;3;ECH
persons;11;2;PER
persons;13;6;DATE
persons;19;1;PENQ
persons;20;1;JOURDEP
persons;21;1;P2
persons;22;1;P3
persons;23;2;P4
persons;25;1;P7
persons;26;1;P8
persons;27;1;P9
persons;28;1;P14
persons;29;6;P15
persons;35;1;P16
persons;36;1;P17
persons;37;1;P18
persons;38;1;P19
persons;39;1;P20
persons;40;1;P21
persons;41;1;P22
persons;42;1;P23
persons;43;1;P24A
persons;44;1;P11A
persons;45;1;P25
persons;46;1;P26
persons;47;1;PL27
persons;48;1;PL28
persons;49;1;P12A
persons;50;1;P12B
persons;51;1;P12C
persons;52;1;P12D
persons;53;1;P12E
persons;54;1;P12F
persons;55;1;P1
persons;56;8;COE1
persons;64;8;COEP
persons;72;6;DP13
persons;78;1;PFIN
;;;
;;;
households;1;1;MP1
households;2;3;TIRA
households;5;3;MP3
households;8;3;ECH
households;11;1;M5
households;12;1;M6
households;13;1;M8A
households;14;4;M9A
households;18;2;M10A
households;20;1;M8B
households;21;4;M9B
households;25;2;M10B
households;27;1;M8C
households;28;4;M9C
households;32;2;M10C
households;34;1;M8D
households;35;4;M9D
households;39;2;M10D
households;41;1;M14
households;42;2;M20
households;44;8;COE0
households;52;6;ZFET
households;58;1;MFIN
;;;
;;;
travels;1;1;DP1
travels;2;3;TIRA
travels;5;3;DP2
travels;8;3;ECH
travels;11;2;PER
travels;13;2;NDEP
travels;15;2;D2
travels;17;2;D2A
travels;19;6;D3
travels;25;2;D4A
travels;27;2;D4B
travels;29;2;D5
travels;31;2;D5A
travels;33;6;D7
travels;39;2;D8A
travels;41;2;D8B
travels;43;3;D9
travels;46;2;D6
travels;48;1;D10
travels;49;1;D10Z
travels;50;2;MODP
travels;52;2;MOIP
travels;54;8;DOIB
travels;62;8;DIST
travels;70;8;DISP
travels;78;1;DFIN
travels;79;1;D11
travels;81;1;ND11
;;;
;;;
travels_parts;1;1;TP1
travels_parts;2;3;TIRA
travels_parts;5;3;TP2
travels_parts;8;3;ECH
travels_parts;11;2;PER
travels_parts;13;2;NDEP
travels_parts;15;1;T1
travels_parts;16;2;T2
travels_parts;18;2;T3
travels_parts;20;6;T4
travels_parts;26;6;T5
travels_parts;32;2;T6
travels_parts;34;1;T7
travels_parts;35;1;T8
travels_parts;36;1;T9
travels_parts;37;1;T10
travels_parts;38;2;T11
travels_parts;40;8;TOIS
travels_parts;48;8;TDIS
travels_parts;56;8;TDIP
travels_parts;64;8;TDMO
travels_parts;72;8;TDMD
travels_parts;80;1;TFIN
