TCM_MEN;Q_MENAGE;TCM_IND_KISH_public;K_INDIVIDU;K_DEPLOC;;
ident_men;ident_men;ident_ind;;ident_dep;;
pond_menC;;ident_men;ident_ind;ident_men;;
;;;pond_indC;ident_ind;;
NPERS;JNBVEH;SEXE;;;;
NENFANTS;;AGE;TRAVAILLE;num_dep;;
TYPMEN15;JNBVELOAD;;ETUDIE;nb_dep;;
;JNBVELOENF;CS24;;POND_JOUR;;
DEP_RES;;SITUA;BTRAVTEL;MDATE_jour;;
TUU2017_RES;BLOGDIST;;BTRAVNBJ;TYPEJOUR;;
STATUTCOM_UU_RES;;;;;;MORIDOM
;;TYPFAM;MDATE_jour;;;MORI1MOTIF
TAA2017_RES;;;;MMOTIFDES;;
CATCOM_AA_RES;;TEMPTRAV;dist_ign_trav;MOTPREC;;
DENSITECOM_RES;;;dist_vo_trav;;;
;;;dist_ign_etude;;;
;;;dist_vo_etude;;;MFINCONFIRM
;;;;MORIHDEP;;
;;;BTRAVFIX;MDESHARR;;
;;;;DUREE;;
;;;IMMODEP_A;;;MOYS
dist_res_metro;;;IMMODEP_B;mtp;;
dist_res_tram;;;IMMODEP_C;;;
dist_res_train;;;IMMODEP_D;;;MDISTTOT_decl
dist_res_tgv;;;IMMODEP_E;;;dVO_ORIDES
;;;IMMODEP_F;MDISTTOT_fin;;
;;;IMMODEP_G;;;indic_dist_corr
quartile_rev;;;;dist_ign;;
decile_rev;;;MIMMOSEM;;;
COEFFUC;;;;;;MVEH
quartile_rev_uc;;;MDATE_delai;;;MVEHEXT
decile_rev_uc;;;;;;
;;;;MACCOMPM;;
;;;;MACCOMPHM;;
;;;;;;precipitation_ori
;;;;mobloc;;temp_mini_ori
;;;;;;temp_maxi_ori
;;;;NEW_VAC_SCOL;;precipitation_des
;;;;;;temp_mini_des
;;;;;;temp_maxi_des
;;;;;;saison
;;;;;;jour_nuit_ori
;;;;;;jour_nuit_des
