geo_code,name,arr,dep,reg,epci,aav,cate_aav,typo_aav,cheflieu_y,cheflieu_x
01001,L'Abergement-Clémenciat,012,01,84,200069193,524,20,21,5804548.045513593,547790.969049712
01002,L'Abergement-de-Varey,011,01,84,240100883,000,30,30,5781503.100384315,603723.4471987922
01004,Ambérieu-en-Bugey,011,01,84,240100883,243,11,11,5773685.295346569,596624.6032709052
01005,Ambérieux-en-Dombes,012,01,84,200042497,002,20,24,5779692.216723867,545801.6897492361
01006,Ambléon,011,01,84,200040350,286,20,21,5740009.740890139,623509.3734923886
01007,Ambronay,011,01,84,240100883,243,20,21,5781599.26384073,596799.3748714506
01008,Ambutrix,011,01,84,240100883,243,20,21,5770547.295415255,594095.424440082
01009,Andert-et-Condon,011,01,84,200040350,286,20,21,5747414.771913238,629567.3801813587
01010,Anglefort,011,01,84,200070852,000,30,30,5766578.35415671,646702.7893991673
01011,Apremont,014,01,84,200042935,168,20,22,5813663.8214801485,629915.8101875415
01012,Aranc,011,01,84,200042935,572,20,21,5780829.985393169,613143.302509719
01013,Arandas,011,01,84,240100883,243,20,21,5763794.752401999,610680.9153733719
01014,Arbent,014,01,84,200042935,168,20,22,5827814.306278603,632508.441128117
01015,Arboys en Bugey,011,01,84,200040350,286,20,21,5736963.337767564,628982.952854694
01016,Arbigny,012,01,84,200071371,084,20,22,5855973.457566924,553342.4720555726
01017,Argis,011,01,84,240100883,000,30,30,5769794.980739775,611082.7787351356
01019,Armix,011,01,84,200040350,000,30,30,5756168.314055193,621828.4491814104
01021,Ars-sur-Formans,012,01,84,200042497,002,20,24,5779259.582443715,536790.3769695207
01022,Artemare,011,01,84,200040350,286,20,21,5760372.437964764,633781.936102792
01023,Asnières-sur-Saône,012,01,84,200071371,084,20,22,5841939.111213735,543577.5263231866
01024,Attignat,012,01,84,200071751,080,20,22,5826863.790765493,574252.7252061809
01025,Bâgé-Dommartin,012,01,84,200071371,084,20,22,5831246.680876116,550670.804276534
01026,Bâgé-le-Châtel,012,01,84,200071371,084,20,22,5829796.218809914,548681.5249760582
01027,Balan,012,01,84,240100610,002,20,24,5753643.598430709,567375.4070649726
01028,Baneins,012,01,84,200069193,000,30,30,5798122.811063471,545613.5598097955
01029,Beaupont,012,01,84,200071751,080,20,22,5846329.505314584,586063.7231793473
01030,Beauregard,012,01,84,200042497,002,20,24,5780829.985393169,528900.0514620935
01031,Bellignat,014,01,84,200042935,168,12,12,5819215.062719471,626636.3379887718
01032,Béligneux,012,01,84,240100610,002,20,24,5756679.736191003,570936.5175754494
01033,Valserhône,014,01,84,240100891,GEN,20,24,5797608.993809256,648569.6172597705
01034,Belley,011,01,84,200040350,286,11,11,5742115.717669821,633000.4732774233
01035,Belleydoux,014,01,84,200042935,168,20,22,5820969.658727773,643124.9809650715
01036,Valromey-sur-Séran,011,01,84,200040350,286,20,21,5761475.750485222,630519.1618276412
01037,Bénonces,011,01,84,240100883,000,30,30,5752637.107907476,609787.0198623019
01038,Bény,012,01,84,200071751,080,20,22,5831923.644813311,588219.981716013
01040,Béréziat,012,01,84,200071751,080,20,22,5839357.548182814,561727.0561021218
01041,Bettant,011,01,84,240100883,243,20,21,5771267.656458939,596974.1464719961
01042,Bey,012,01,84,200070555,084,20,22,5815626.470433851,539440.8940453085
01043,Beynost,012,01,84,240100800,002,20,24,5754794.01283734,556749.9616687546
01044,Billiat,014,01,84,240100891,GEN,20,24,5792857.597563062,643891.9722566371
01045,Birieux,012,01,84,200069193,002,20,24,5772836.645084188,560909.9710396993
01046,Biziat,012,01,84,200070555,000,30,30,5815175.987859877,550330.1666347065
01047,Blyes,011,01,84,240100883,002,20,24,5755720.843821386,584375.0065040134
01049,La Boisse,012,01,84,240100610,002,20,24,5755017.721814531,560200.8658833462
01050,Boissey,012,01,84,200071371,084,20,22,5841648.647609327,556259.0427143563
01051,Bolozon,014,01,84,200042935,000,30,30,5811170.92067822,609259.3654759418
01052,Bouligneux,012,01,84,200069193,002,20,24,5783907.499798294,555603.3709135839
01053,Bourg-en-Bresse,012,01,84,200071751,080,11,12,5813309.947570277,581610.9435476165
01054,Bourg-Saint-Christophe,011,01,84,240100883,002,20,24,5762707.145086546,574162.5564186386
01056,Boyeux-Saint-Jérôme,014,01,84,200029999,000,30,30,5785142.011549645,607691.9870455725
01057,Boz,012,01,84,200071371,084,20,22,5845812.874754854,546636.5859301857
01058,Brégnier-Cordon,011,01,84,200040350,000,30,30,5724167.066572948,625528.7090553788
01060,Brénod,014,01,84,200042935,572,20,21,5789889.269130566,624021.4431500379
01061,Brens,011,01,84,200040350,286,20,21,5735336.889488721,634032.404957077
01062,Bressolles,012,01,84,240100610,002,20,24,5759077.41979204,567249.6160403762
01063,Brion,014,01,84,200042935,168,20,22,5807778.488621693,618194.9810019179
01064,Briord,011,01,84,240100883,000,30,30,5745562.936500059,607716.477333547
